"CustomerID","FirstName","LastName","Email","Phone"
"1","Lisa","Miller","caroline55@hotmail.com","886.172.7433x67486"
"2","Bryan","Smith","karenbrewer@hotmail.com","5286278663"
"3","Kent","Andersen","james10@yahoo.com","(309)757-8361x1848"
"4","Erin","Gregory","steven58@yahoo.com","7809286629"
"5","Brian","Glover","smallchristopher@hotmail.com","+1-842-403-8582x83849"
"6","Nicole","Ward","ymcbride@yahoo.com","(219)198-2851"
"7","Wendy","Oneal","leonardmargaret@gmail.com","(250)495-3790x3241"
"8","Jason","Fields","laurawright@gmail.com","(847)032-5405x36076"
"9","Cody","Chase","meganmontoya@hotmail.com","462.419.2719"
"10","Jordan","Johnson","brandivelez@yahoo.com","008-495-8633x717"
"11","Erin","Wilson","veronica36@gmail.com","605.864.1376x65085"
"12","Jason","Hernandez","dcarter@yahoo.com","796.505.6196x1448"
"13","Caitlin","Wallace","jessica25@hotmail.com","001-722-981-6012"
"14","Wanda","James","mejiatommy@gmail.com","532.338.5426"
"15","Natalie","Rogers","christinethompson@hotmail.com","(498)001-8991x811"
"16","Cesar","Dorsey","idavis@yahoo.com","(566)940-0133"
"17","Kelli","Johnson","jonesmary@gmail.com","+1-414-573-4783x3294"
"18","Rebekah","Taylor","kennethchavez@hotmail.com","001-338-997-1115"
"19","Rachel","Smith","melissa91@yahoo.com","261-721-4222x001"
"20","David","Schwartz","newtonstephanie@gmail.com","142-014-8463x302"
"21","Sara","Wilson","henry34@hotmail.com","+1-841-694-9806x163"
"22","Tracy","Conrad","pattersonrichard@hotmail.com","195.062.4982x91305"
"23","Diane","Bryant","melinda85@yahoo.com","+1-699-198-4644"
"24","Joseph","Weber","michelle89@yahoo.com","(548)544-0371"
"25","Cynthia","Jones","andrewmyers@hotmail.com","(107)986-8397"
"26","Belinda","Parker","gillespiesusan@gmail.com","001-429-522-2030x2565"
"27","Bobby","Bell","chaveztimothy@yahoo.com","(222)209-9993x723"
"28","Jennifer","Hansen","shawnwarren@gmail.com","874-602-0193"
"29","Catherine","Gordon","williamskenneth@gmail.com","+1-544-951-0297x829"
"30","Michelle","Holland","brittney25@gmail.com","+1-788-599-0336x0329"
"31","Jacqueline","Perez","mbarker@gmail.com","+1-583-594-8660"
"32","Regina","Grant","joshuacarpenter@gmail.com","584-393-6010x549"
"33","Nancy","Williams","danielsangel@yahoo.com","+1-074-708-8800x171"
"34","Thomas","Johnson","tylermontgomery@hotmail.com","(666)580-8103"
