"EmployeeID","FirstName","LastName","Email","Phone","JobTitle"
"1","Rachel","Mccullough","davidschultz@yahoo.com","001-937-150-4231x5967","Junior seller"
"2","Kelsey","Mcmillan","amy23@gmail.com","128-379-9290x9776","Manager"
"3","Christian","Hogan","vdavis@yahoo.com","0825099827","Manager"
"4","Stephanie","Hammond","stacy98@hotmail.com","814.972.1497","Seller"
"5","Rebecca","Crawford","joseph28@gmail.com","836-928-1820x1037","Junior seller"
"6","David","Lopez","nicholekelly@gmail.com","909-901-2842","Junior seller"
"7","Robert","Flores","kyle25@yahoo.com","(176)957-4442","Junior seller"
"8","Benjamin","Salinas","chasecollins@hotmail.com","053-904-6878x90317","Junior seller"
"9","Ashley","Morris","jacksonlisa@gmail.com","896.197.2641x5128","Seller"
"10","Alexander","Lopez","karen34@hotmail.com","409-163-2956","Manager"
"11","Jennifer","Bowers","marknorton@gmail.com","(058)617-2011x731","Junior seller"
"12","Lisa","Taylor","jessicajackson@yahoo.com","836-336-4920x2581","Seller"
"13","Mark","Little","johnsonwilliam@gmail.com","+1-233-198-5124x107","Junior seller"
"14","William","Reed","samantha24@hotmail.com","+1-406-250-3879x7347","Seller"
"15","Amber","Harris","tammy93@gmail.com","001-477-360-0808x369","Junior seller"
"16","William","Leonard","arthurmorgan@gmail.com","252-085-5282x8135","Seller"
"17","Anthony","Nguyen","katieharvey@gmail.com","001-271-863-7972x8820","Junior seller"
"18","James","Taylor","afitzgerald@hotmail.com","341.637.3797x57882","Seller"
"19","Morgan","Hunter","olsonnicholas@yahoo.com","283.230.1077x76796","Junior seller"
"20","Craig","Diaz","roberthebert@hotmail.com","001-153-095-0104x04699","Seller"
"21","Christie","Bell","tracy67@hotmail.com","+1-390-844-7930x41353","Junior seller"
"22","Ronald","Alexander","wileyadriana@gmail.com","+1-621-789-0265x206","Junior seller"
"23","Lucas","Cook","rubengarcia@hotmail.com","(572)499-9936x98412","Seller"
"24","John","Harris","wilsontiffany@gmail.com","001-521-754-5046x9564","Manager"
"25","Alexandra","Ray","john01@yahoo.com","7535944502","Junior seller"
"26","Shane","White","rgriffin@yahoo.com","001-497-051-3511x5305","Junior seller"
"27","Gregory","Mack","moralesrose@gmail.com","608.125.9376","Seller"
"28","James","Rogers","deborah31@gmail.com","149-763-5598x936","Manager"
"29","Alexis","Roy","opotts@yahoo.com","5975987923","Junior seller"
"30","Jesus","Leach","jeremy07@hotmail.com","+1-965-986-1129","Junior seller"
"31","Brian","Jones","kpope@hotmail.com","476.406.4776x7006","Manager"
"32","Stephen","Miller","andersondouglas@gmail.com","(402)966-1037","Junior seller"
"33","Brianna","Hess","dianabanks@yahoo.com","(955)070-2291x4760","Manager"
"34","Michelle","Cruz","rhodesjake@gmail.com","380.746.0802x165","Manager"
"35","Vanessa","Fleming","lindsay75@yahoo.com","+1-373-446-0556x3576","Seller"
"36","Wayne","Holland","fernandezthomas@yahoo.com","001-093-740-5760x2168","Manager"
"37","John","Smith","amaldonado@hotmail.com","001-615-591-9191x37381","Manager"
"38","Barbara","Meyer","hdoyle@hotmail.com","(327)508-7207x65347","Junior seller"
"39","Julie","Evans","jamesmcdonald@hotmail.com","940.835.9584x00759","Seller"
"40","Kristina","Collins","rebeccafowler@gmail.com","594-759-7571","Seller"
"41","Karen","Conner","rblevins@gmail.com","281-528-0702x2513","Seller"
"42","Antonio","Smith","renee90@hotmail.com","(966)308-1454","Manager"
"43","Michael","Oneal","joshuashields@yahoo.com","001-723-878-0482x426","Seller"
"44","Sean","Garrett","gnewton@hotmail.com","(809)769-5993x65411","Seller"
"45","Kevin","Casey","simpsonlaura@gmail.com","165-829-9465","Junior seller"
"46","Robert","Henderson","sara77@hotmail.com","(403)544-6176x370","Seller"
"47","Alexander","Garcia","lsanchez@yahoo.com","053.032.9414x7059","Seller"
"48","Caleb","Tyler","gabrielle17@hotmail.com","(666)010-6106","Seller"
"49","Tonya","Neal","joseph41@hotmail.com","967.860.7839x42060","Junior seller"
"50","Kathleen","Berry","michaelhobbs@yahoo.com","255-015-8212","Junior seller"
"51","Carol","Alexander","tdavis@gmail.com","758-321-7992x08566","Seller"
"52","Tasha","Perkins","francisconash@gmail.com","(091)016-5080","Junior seller"
"53","Ruben","Wolf","evan63@hotmail.com","106-472-7244","Seller"
"54","Natasha","Rodriguez","sullivanrebecca@gmail.com","001-192-819-8026x9831","Manager"
